locale,code,name,descr
en,AU,Australia,Commonwealth of Australia
en,CA,Canada,Canada
en,CN,China,People's Republic of China (PRC)
en,FR,France,French Republic
en,DE,Germany,Federal Republic of Germany
en,IN,India,Republic of India
en,IL,Israel,State of Israel
en,MM,Myanmar,Republic of the Union of Myanmar
en,GB,United Kingdom,United Kingdom of Great Britain and Northern Ireland
en,US,United States,United States of America (USA)
en,EU,European Union,European Union
